Name,IATA,ICAO,Callsign,Country,Active
Mountain Valley Air Service,,MTV,MOUNTAIN VALLEY,United States,N
Mowhawk Airlines,,MOW,MOHAWK AIR,United States,N
Multi-Aero,,WBR,WEBER,United States,N
Murray Air,,MUA,MURRAY AIR,United States,N
Nantucket Airlines,DV,ACK,ACK AIR,United States,N
Napier Air Service Inc,,NAP,NAPIER,United States,N
Nashville Jet Charters,,NJC,NASHVILLE JET,United States,N
Natioanl Air Traffic Controllers Association,,NTK,NATCA,United States,N
National Airlines,,NAN,NATION AIR,United States,N
National Airlines,N7,ROK,RED ROCK,United States,N
National Airlines,NA,NAL,NATIONAL,United States,N
National Express,,NXT,NATIONAL FREIGHT,United States,N
National Jet Service,,AND,AIR INDIANA,United States,N
National Oceanic and Atmospheric Administration,,NAA,NOAA,United States,N
Nations Air Express Inc,,NAE,NATIONS EXPRESS,United States,N
Navinc Airlines Services,,XNV,,United States,N
Navitaire,1N,,,United States,N
State of Nebraska,,NEB,NEBRASKA,United States,N
NetJets,1I,EJA,EXECJET,United States,Y
New England Air Express,,NEZ,ENGAIR,United States,N
New England Airlines,EJ,NEA,NEW ENGLAND,United States,Y
New World Jet Corporation,,NWD,NEW WORLD,United States,N
New York Helicopter,,NYH,NEW YORK,United States,N
New York State Police,,GRY,GRAY RIDER,United States,N
Newair,,HVA,HAVEN-AIR,United States,N
Nextflight Aviation,,NXF,NEXTFLIGHT,United States,N
North American Jet Charter Group,,NAJ,JET GROUP,United States,N
North Atlantic Air Inc,,NAT,MASS AIR,United States,N
North Star Air Cargo,,SBX,SKY BOX,United States,N
Northaire Feight Lines,,NFL,GREAT LAKES,United States,N
Northcoast Executive Airlines,,NCE,TOP HAT,United States,N
Northeast Airlines,,NEE,NORTHEAST,United States,N
Northeast Aviation,,NPX,NORTHEAST EXPRESS,United States,N
Northern Air Cargo,NC,NAC,YUKON,United States,N
Northern Airways,,NDA,NORTHERN DAKOTA,United States,N
Northern Illinois Commuter,,NIC,ILLINOIS COMMUTER,United States,N
Northern Jet Management,,NTX,NORTAX,United States,N
Northland Aviation,,KOE,KOKEE,United States,N
Northstar Aviation,,NSS,NORTHSTAR,United States,N
Northwest Aero Associates,,NWE,,United States,N
Northwest Airlines,NW,NWA,NORTHWEST,United States,Y
Notams International,,XNT,,United States,N
OSACOM,,JPA,J-PAT,United States,N
Ocean Wings Commuter Service,,TUK,TUCKERNUCK,United States,N
Oklahoma Department of Public Safety,,OKL,OKLAHOMA,United States,N
Omni Air International,OY,OAE,OMNI-EXPRESS,United States,Y
Ozark Air Lines,OZ,OZR,OZARK,United States,N
PAC Air,,PCR,PACAIR,United States,N
PDQ Air Charter,,PDQ,DISPATCH,United States,N
PHH Aviation System,,XAS,,United States,N
PSA Airlines,,JIA,BLUE STREAK,United States,N
Paccair,,WIS,WISCAIR,United States,N
Pace Airlines,Y5,PCE,PACE,United States,N
Pacific Air Charter,,PRC,PACIFIC CHARTER,United States,N
Pacific Air Express,,PCF,PACIFIC EXPRESS,United States,N
Pacific Air Transport,,PXP,PAK EXPRESS,United States,N
Pacific Alaska Airlines,,PAK,PACIFIC ALASKA,United States,N
Pacific Aviation (United States),,PCX,,United States,N
Pacific Coast Airlines,,PQA,SAGE BRUSH,United States,N
Pacific International Airlines,,PIN,ROAD RUNNERS,United States,N
Pacific Island Aviation,,PSA,PACIFIC ISLE,United States,Y
Pacific Jet,,PCJ,PACIFIC JET,United States,N
Pacific Southwest Airlines,PS,PSX,SMILEY,United States,N
Pacific Wings,LW,NMI,TSUNAMI,United States,Y
Pacificair Airlines,,PFR,PACIFIC WEST,United States,N
Package Express,,RCY,RACE CITY,United States,N
Pak West Airlines,,PKW,PLATINUM WEST,United States,N
Pan Air,,PAX,PANNEX,United States,N
Pan Am Weather Systems,,XPA,,United States,N
Pan American Airways,PA,PAA,,United States,N
Pan American World Airways,PA,PAA,CLIPPER,United States,N
Panagra Airways,,PGI,PANAGRA,United States,N
Panorama Air Tour,,PAH,LANI,United States,N
Panorama Flight Service,,AFD,AIRFED,United States,N
Paradise Airways,,PAI,SEA RAY,United States,N
Paradise Island Airways,,PDI,PARADISE ISLAND,United States,N
Paragon Air Express,,PGX,PARAGON EXPRESS,United States,N
Parcel Express,,APE,AIR PARCEL,United States,N
Patterson Aviation Company,,ETL,ENTEL,United States,N
Pelican Express,,PEX,PELICAN EXPRESS,United States,N
Peninsula Airways,KS,PEN,PENINSULA,United States,Y
Petroleum Helicopters,,PHM,PETROLEUM,United States,N
Petty Transport,,PTY,PETTY,United States,N
Phillips Air,,BCH,BEACHBALL,United States,N
Phillips Alaska,,PDD,PADA,United States,N
Phillips Michigan City Flying Service,,PHL,PHILLIPS,United States,N
Phoenix Air Group,,PHA,GRAY BIRD,United States,N
Phoenix Air Transport,,PPG,PAPAGO,United States,N
Phoenix Airline Services,,WDY,WINDYCITY,United States,N
Phoenix Flight Operations,,XPX,,United States,N
Piedmont Airlines (1948-1989),PI,PDT,PIEDMONT,United States,Y
Pinnacle Air Group,,PCL,PINNACLE GROUP,United States,N
Pinnacle Airlines,9E,FLG,FLAGSHIP,United States,Y
Pioneer Airlines,,PIO,PIONEER,United States,N
Planemaster Services,,PMS,PLANEMASTER,United States,N
Planet Airways,,PLZ,PLANET,United States,N
Players Air,,PYZ,PLAYERS AIR,United States,N
Pocono Air Lines,,POC,POCONO,United States,N
Polar Air Cargo,PO,PAC,POLAR,United States,N
Polynesian Air-Ways,,PLA,POLYAIR,United States,N
Pond Air Express,,PND,POND AIR,United States,N
Port Townsend Airways,,PTQ,TOWNSEND,United States,N
Potomac Air,BK,PDC,DISTRICT,United States,Y
Prairie Flying Service,,PFS,PRAIRIE,United States,N
Precision Airlines,,PRE,PRECISION,United States,N
Presidential Aviation,,PRD,PRESIDENTIAL,United States,N
Priester Aviation,,PWA,PRIESTER,United States,N
Primaris Airlines,FE,WCP,WHITECAP,United States,N
Primas Courier,,PMC,PRIMAC,United States,N
Prime Air,,PRM,PRIME AIR,United States,N
Princeton Aviation Corporation,,PCN,PRINCETON,United States,N
Priority Air Charter,,PRY,PRIORITY AIR,United States,N
Priority Air Transport,,PAT,PAT,United States,N
Priority Aviation Company,,BCK,BANKCHECK,United States,N
Private Jet Expeditions,,PJE,PEE JAY,United States,N
Private Jet Management,,PJA,PRIVATE FLIGHT,United States,N
Pro Air,,PRH,PROHAWK,United States,N
Pro Air Service,,PSZ,POP-AIR,United States,N
Professional Express Courier Service,,PAD,AIR PROFESSIONAL,United States,N
Propheter Aviation,,PPA,AIR PROP,United States,N
Providence Airline,,PTL,PLANTATION,United States,N
Puerto Rico National Guard,,PNG,,United States,N
Quest Diagnostics,,LBQ,LABQUEST,United States,N
Qwest Commuter Corporation,,QCC,QWEST AIR,United States,N
Rader Aviation,,GBR,GREENBRIER AIR,United States,N
Radixx Solutions International,1D,,,United States,N
Raleigh Flying Service,,RFA,RALEIGH SERVICE,United States,N
Ram Air Freight,,REX,RAM EXPRESS,United States,N
Ram Aircraft Corporation,,RMT,RAM FLIGHT,United States,N
Ramp 66,,PPK,PELICAN,United States,N
Raven Air,,RVN,RAVEN U-S,United States,N
Raytheon Aircraft Company,,RTN,RAYTHEON,United States,N
Raytheon Travel Air,,KSS,KANSAS,United States,N
Red Baron Aviation,,RBN,RED BARON,United States,N
Reeve Aleutian Airways,,RVV,REEVE,United States,N
Regency Airlines,,RGY,REGENCY,United States,N
RegionsAir,3C,CEA,CORP-X,United States,N
Reliance Aviation,,REL,RELIANCE AIR,United States,N
Reliant Airlines,,RLT,RELIANT,United States,N
Reno Air,QQ,ROA,RENO AIR,United States,N
Renown Aviation,,RGS,RENOWN,United States,N
Republic Airlines,RW,RPA,BRICKYARD,United States,Y
Resort Air,,RST,RESORT AIR,United States,N
Rhoades Aviation,,RDS,RHOADES EXPRESS,United States,N
Rich International Airways,,RIA,RICHAIR,United States,N
Richards Aviation,,RVC,RIVER CITY,United States,N
Richardson's Airway,,RIC,RICHARDSON,United States,N
Richland Aviation,,RCA,RICHLAND,United States,N
Rimrock Airlines,,RIM,RIMROCK,United States,N
Rio Airways,,REO,RIO,United States,N
Rio Grande Air,E2,GRN,GRANDE,United States,N
Roblex Aviation,,ROX,ROBLEX,United States,N
Rockwell Collins Avionics,,RKW,ROCKWELL,United States,N
Rocky Mountain Airways,,RMA,ROCKY MOUNTAIN,United States,N
Rocky Mountain Holdings,,LIF,LIFECARE,United States,N
Ross Aviation,,NRG,ENERGY,United States,N
Roswell Airlines,,RAL,ROSWELL,United States,N
Rover Airways International,,ROV,ROVERAIR,United States,N
Royal Air Freight,,RAX,AIR ROYAL,United States,N
Royal American Airways,,RLM,ROYAL AMERICAN,United States,N
Royal West Airlines,,RWE,ROYAL WEST,United States,N
Ryan Air Service,,RCT,ARCTIC TRANPORT,United States,N
Ryan Air Services,,RYA,RYAN AIR,United States,Y
Ryan International Airlines,RD,RYN,RYAN INTERNATIONAL,United States,Y
Rynes Aviation,,RAA,RYNES AVIATION,United States,N
Steinman Aviation,,SBB,SABER EXPRESS,United States,N
Seven Bar Flying Service,,SBF,S-BAR,United States,N
Sabre Incorporated,,SBG,,United States,N
Smithkline Beacham Clinical Labs,,SBQ,SKIBBLE,United States,N
Saber Aviation,,SBR,FREIGHTER,United States,N
Seaborne Airlines,BB,SBS,SEABORNE,United States,Y
South Central Air,,SCA,SOUTH CENTRAL,United States,N
Seacoast Airlines,,SCC,SEA-COASTER,United States,N
Scenic Airlines,,SCE,SCENIC,United States,Y
Sunbird Airlines,,CDL,CAROLINA,United States,N
Sun Country Airlines,SY,SCX,SUN COUNTRY,United States,Y
Sunrise Airlines,,SDC,SUNDANCE,United States,N
Skymaster Air Taxi,,SDD,SKY DANCE,United States,N
Sundorph Aeronautical Corporation,,SDF,SUNDORPH,United States,N
Southeast Air,,SEA,SOUTHEAST AIR,United States,Y
Sedona Air Center,,SED,SEDONA AIR,United States,N
Sentel Corporation,,SEL,SENTEL,United States,N
Safewings Aviation Company,,SFF,SWIFTWING,United States,N
Skyfreight,,SFT,SKYFREIGHT,United States,N
S.K. Logistics,,SFX,SWAMP FOX,United States,N
Sky King,,SGB,SONGBIRD,United States,N
Skagway Air Service,N5,SGY,SKAGWAY AIR,United States,Y
Sky Harbor Air Service,,SHC,SKY HARBOR CHEYENNE,United States,N
Shavano Air,,SHV,SHAVANO,United States,N
Shawnee Airline,,SHW,SHAWNEE,United States,N
Sierra Express,,SIE,SEREX,United States,N
Salair,,SIR,SALAIR,United States,N
Spirit Aviation,,SJJ,SPIRIT JET,United States,N
Southeast Airmotive,,SPU,SPUTTER,United States,N
Sierra Expressway Airlines,,SRX,SIERRA EX,United States,N
Southern Seaplane,,SSC,SOUTHERN SKIES,United States,N
Skystar International,,SSK,SKYSTAR,United States,N
Suburban Air Freight,,SUB,SUB AIR,United States,N
Star West Aviation,,SUU,SUNSTAR,United States,N
Security Aviation,,SVX,SECURITY AIR,United States,N
Southwest Airlines,WN,SWA,SOUTHWEST,United States,Y
Spurling Aviation,,ASL,AIR SEATTLE,United States,N
Sunworld Airlines,,SWI,SUNWORLD,United States,N
Stateswest Airlines,,SWJ,STATES,United States,N
Swift Air (Interstate Equipment Leasing),,SWQ,SWIFTFLIGHT,United States,N
Sunwest Aviation (Lindquist Investment),,SWS,SUNNY WEST,United States,N
Southern Cross Aviation,,SXA,FERRY,United States,N
Southeast Express Airlines,,SXE,DOGWOOD EXPRESS,United States,N
Satellite Aero,,SXX,SATELLITE EXPRESS,United States,N
Systec 2000,,SYC,SYSTEC,United States,N
Sky One Express Airlines,,SYF,SKY FIRST,United States,N
Sonalysts,,SYI,,United States,N
Satsair,,SYK,AEROCAB,United States,N
Special Aviation Systems,,SYV,SPECIAL SYSTEM,United States,N
Skywalk Airlines,AL,SYX,SKYWAY-EX,United States,Y
Sundance Air,,BNC,BARNACLE AIR,United States,N
Sioux Falls Aviation,,DKT,DAKOTA,United States,N
Sky Bus,,FLH,MILE HIGH,United States,N
S.P. Aviation,,GDG,GOLDEN GATE,United States,N
Superior Aviation,SO,HKA,SPEND AIR,United States,N
Silvair,,IJS,,United States,N
Secure Air Charter,,JCM,SECUREAIR,United States,N
Sky Limo Corporation,,LMO,SKY LIMO,United States,N
San Juan Airlines,2G,MRR,MARINER,United States,N
Sabre,1S,,,United States,N
Sierra Nevada Airlines,1I,,,United States,N
Sutra,1K,,,United States,N
Spirit Airlines,NK,NKS,SPIRIT WINGS,United States,Y
South Carolina Aeronautics Commission,,PLT,PALMETTO,United States,N
Southeastern Airways,,PTM,POSTMAN,United States,N
Sky Trek International Airlines,1I,PZR,PHAZER,United States,N
Skybus Airlines,SX,SKB,SKYBUS,United States,N
Skymaster Air Lines,,SKC,SKYMASTER AIR,United States,N
Sky Harbor Air Service,,SKD,SKY DAWG,United States,N
Sky Tours,,SKE,SKYISLE,United States,N
Skycraft,,SKF,SKYCRAFT,United States,N
Skyline Aviation Services,,SKN,SKYLINER,United States,N
SkyWest,OO,SKW,SKYWEST,United States,Y
Skyway Enterprises,,SKZ,SKYWAY-INC,United States,N
Silverhawk Aviation,,SLH,SILVERHAWK,United States,N
Servant Air,8D,,,United States,N
Smithair,,SMH,SMITHAIR,United States,N
Summit Airlines,,SMM,SUMMIT-AIR,United States,N
Southeast Airlines (Sun Jet International),,SNK,SUN KING,United States,N
Soonair Lines,,SNL,SOONAIR,United States,N
Sun Pacific International,,SNP,SUN PACIFIC,United States,N
Sun Quest Executive Air Charter,,SNQ,EXECU-QUEST,United States,N
Suncoast Aviation,,SNT,SUNCOAST,United States,N
Sun West Airlines,,SNW,SUN WEST,United States,N
Southern Ohio Aviation Sales,,SOH,SOUTHERN OHIO,United States,N
Sunshine Air Tours,,SON,SUNSHINE TOURS,United States,N
Southern Air,,SOO,SOUTHERN AIR,United States,N
Southeast Correct Craft,,SOT,SOUTH COURIER,United States,N
Southern Airways,,SOU,SOUTHERN EXPRESS,United States,Y
Sierra Pacific Airlines,,SPA,SIERRA PACIFIC,United States,N
Skyworld Airlines,,SPC,PORT,United States,N
Sprague Electric Company,,SPE,SPRAGUE,United States,N
Springdale Air Service,,SPG,SPRING AIR,United States,N
South Pacific Island Airways,,SPI,SOUTH PACIFIC,United States,Y
Sapphire Aviation,,SPP,SAPPHIRE,United States,N
Shuttle America,S5,TCF,MERCURY,United States,Y
Sunset Aviation,,VXN,VIXEN,United States,N
Sport Air Travel,,WCC,WEST COAST,United States,N
Southport Air Service,,XPG,,United States,N
Spectrum Air Service,,XSA,,United States,N
Stewart Aviation Services,,YBE,YELLOW BIRD,United States,N
Trans International Express Aviation,,BAP,BIG APPLE,United States,N
TAG Aviation USA,,TAG,TAG U-S,United States,N
TAB Express International,,TBI,TAB INTERNATIONAL,United States,N
Trans-Colorado Airlines,,TCE,TRANS-COLORADO,United States,N
Teledyne Continental Motors,,TCM,TELEDYNE,United States,N
Trans Continental Airlines,,TCN,TRANSCON,United States,N
Twin Cities Air Service,,TCY,TWIN CITY,United States,N
Tellavia / Flight One,,TDE,TELLURIDE,United States,N
Tradewinds Airlines,,TDX,TRADEWINDS EXPRESS,United States,N
Tempelhof Airways,,TEH,TEMPELHOF,United States,N
Telford Aviation,,TEL,TELFORD,United States,N
Tennessee Airways,,TEN,TENNESSEE,United States,N
Territorial Airlines,,TER,TERRI-AIRE,United States,N
Trans-Florida Airlines,,TFA,TRANS FLORIDA,United States,N
Talon Air,,TFF,TALON FLIGHT,United States,N
Transport Facilitators,,TFI,,United States,N
Tar Heel Aviation,,THC,TARHEEL,United States,N
Trans International Airlines,,TIA,TRANS INTERNATIONAL,United States,N
Eagle Canyon Airlines,,TLO,TALON AIR,United States,N
TLC Air,,TLS,TEALSY,United States,N
Telesis Transair,,TLX,TELESIS,United States,N
Tomahawk Airways,,TMK,TOMAHAWK,United States,N
TMC Airlines,,TMM,WILLOW RUN,United States,N
Temsco Helicopters,,TMS,TEMSCO,United States,N
Trans Midwest Airlines,,TMT,TRANS MIDWEST,United States,N
Tennessee Air National Guard 164th Airlift Group,,TNG,,United States,N
Transair International Linhas Aereas,,TNI,TRANSINTER,United States,N
Tanana Air Services,,TNR,TAN AIR,United States,N
Transnorthern,,TNV,TRANSNORTHERN,United States,N
Twin Town Leasing Company,,TNY,TWINCAL,United States,N
Tol-Air Services,TI,TOL,TOL AIR,United States,N
Tower Air,FF,TOW,TEE AIR,United States,N
Taquan Air Services,,TQN,TAQUAN,United States,N
Trans Air Charter,,TRC,TRACKER,United States,N
Tropic Airlines-Air Molokai,,TRO,MOLOKAI,United States,N
Transwestern Airlines of Utah,,TRW,TRANS-WEST,United States,N
Tristar Airlines,,TRY,TRISTAR AIR,United States,N
TransMeridian Airlines,T9,TRZ,TRANS-MERIDIAN,United States,N
Tri-State Aero,,TSS,TRI-STATE,United States,N
Trans America Airlines,,TVA,TRANS-AMERICA,United States,N
Trans World Airlines,TW,TWA,TWA,United States,N
Texair Charter,,TXA,OKAY AIR,United States,N
Texas National Airlines,,TXN,TEXAS NATIONAL,United States,N
Texas Airlines,,TXS,TEXAIR,United States,N
Texas Air Charters,,TXT,TEXAS CHARTER,United States,N
Tex Star Air Freight,,TXZ,TEX STAR,United States,N
Top Flight Air Service,,CHE,CHECK AIR,United States,N
Trans America,,CLR,CLINTON AIRWAYS,United States,N
Texas Airways,,CWT,TEXAS AIRWAYS,United States,N
Trans-Air-Link,,GJB,SKY TRUCK,United States,N
Tradewind Aviation,,GPD,GOODSPEED,United States,N
Trail Lake Flying Service,,HBA,HARBOR AIR,United States,N
The Lancair Company,,LCC,LANCAIR,United States,N
The Army Aviation Heritage Foundation,,LEG,LEGACY,United States,N
Trans States Airlines,AX,LOF,WATERSKI,United States,Y
Trans Air,,MUI,MAUI,United States,N
Open Skies Consultative Commission,1L,OSY,OPEN SKIES,United States,N
Trans World Express,,RBD,RED BIRD,United States,N
Tas Aviation,,RMS,TASS AIR,United States,N
USAF Air Mobility Operations Control Center,,DOD,,United States,N
U.S. Department of the Interior,,DOI,INTERIOR,United States,N
US Army Parachute Team,,GKA,GOLDEN KNIGHTS,United States,N
USA3000 Airlines,U5,GWY,GETAWAY,United States,Y
United Airlines,UA,UAL,UNITED,United States,Y
United Carriers Systems,,UCS,UNITED CARRIERS,United States,N
United Feeder Service,U2,,,United States,N
United States Coast Guard Auxiliary,,CGX,COASTGUARD AUXAIR,United States,N
United States Department Of Agriculture,,AGR,AGRICULTURE,United States,N
USA Jet Airlines,U7,JUS,JET USA,United States,N
US Marshals Service,,MSH,MARSHALAIR,United States,N
University of North Dakota,,NDU,SIOUX,United States,N
Universal Airlines,,PNA,PACIFIC NORTHERN,United States,N
US Airports Air Charter,,UCH,US CHARTER,United States,N
UFS,,UFS,FEEDER EXPRESS,United States,N
Universal Jet Aviation,,UJT,UNI-JET,United States,N
Ultrair,,ULT,ULTRAIR,United States,N
Union Flights,,UNF,UNION FLIGHTS,United States,N
United Parcel Service,5X,UPS,UPS,United States,N
US Airways,US,USA,U S AIR,United States,Y
US Check Airlines,,USC,STAR CHECK,United States,N
USAfrica Airways,,USF,AFRICA EXPRESS,United States,N
US Helicopter,,USH,US-HELI,United States,Y
US Jet,,USJ,USJET,United States,N
US Express,,USX,AIR EXPRESS,United States,N
Universal Airways,,UVA,UNIVERSAL,United States,N
United States Air Force,,AIO,AIR CHIEF,United States,Y
Universal Airlines,,WEC,AIRGO,United States,N
US Helicopter Corporation,UH,,,United States,Y
Vanguard Airlines,,VGD,VANGUARD AIR,United States,N
Viscount Air Service,,VCT,VISCOUNT AIR,United States,N
VIP Air Charter,,FXF,FOX FLIGHT,United States,N
Volare Air Charter Company,,VCM,CARMEN,United States,N
Virgin America,VX,VRD,REDWOOD,United States,Y
Vieques Air Link,,VES,VIEQUES,United States,N
Vero Monmouth Airlines,,VMA,VERO MONMOUTH,United States,N
Virign Islands Seaplane Shuttle,,VSS,WATERBIRD,United States,N
Viking Express,,WCY,TITAN AIR,United States,N
WRA Inc,,WRR,WRAP AIR,United States,N
WSI Corporation,,XWS,,United States,N
Walmart Aviation,,CGG,CHARGE,United States,N
Warbelow's Air Ventures,,WAV,WARBELOW,United States,N
Welch Aviation,,TDB,THUNDER BAY,United States,N
Westair Industries,,PCM,PAC VALLEY,United States,N
Western Air Couriers,,NPC,NORPAC,United States,N
Western Air Express,,WAE,WESTERN EXPRESS,United States,N
Western Airlines,WA,WAL,WESTERN,United States,Y
Western Aviators,,WTV,WESTAVIA,United States,N
Western Pacific Airlines,,KMR,KOMSTAR,United States,N
