Name,City,Country,IATA
MBS International Airport,Saginaw,United States,MBS
Greater Binghamton/Edwin A Link field,Binghamton,United States,BGM
Blythe Airport,Blythe,United States,BLH
Petersburg James A Johnson Airport,Petersburg,United States,PSG
Orlando Sanford International Airport,Sanford,United States,SFB
John Murtha Johnstown Cambria County Airport,Johnstown,United States,JST
Missoula International Airport,Missoula,United States,MSO
Grand Canyon National Park Airport,Grand Canyon,United States,GCN
Sugar Land Regional Airport,Sugar Land,United States,SGR
Centennial Airport,Denver,United States,APA
Clovis Municipal Airport,Clovis,United States,CVN
Fort Stockton Pecos County Airport,Fort Stockton,United States,FST
Las Vegas Municipal Airport,Las Vegas,United States,LVS
West Houston Airport,Houston,United States,IWS
La Junta Municipal Airport,La Junta,United States,\N
Las Cruces International Airport,Las Cruces,United States,LRU
Stephens County Airport,Breckenridge,United States,BKD
Draughon Miller Central Texas Regional Airport,Temple,United States,TPL
Ozona Municipal Airport,Ozona,United States,OZA
Eagle County Regional Airport,Vail,United States,EGE
Cuyahoga County Airport,Richmond Heights,United States,CGF
Mansfield Lahm Regional Airport,Mansfield,United States,MFD
Columbus Metropolitan Airport,Columbus,United States,CSG
Lawton Fort Sill Regional Airport,Lawton,United States,LAW
Northern Colorado Regional Airport,Fort Collins,United States,FNL
Flagstaff Pulliam Airport,Flagstaff,United States,FLG
Lake Tahoe Airport,South Lake Tahoe,United States,TVL
Joslin Field Magic Valley Regional Airport,Twin Falls,United States,TWF
Martha's Vineyard Airport,Vineyard Haven MA,United States,MVY
Concord Municipal Airport,Concord NH,United States,CON
Groton New London Airport,Groton CT,United States,GON
St Cloud Regional Airport,Saint Cloud,United States,STC
Golden Triangle Regional Airport,Columbus Mississippi,United States,GTR
Bowerman Airport,Hoquiam,United States,HQM
Erie International Tom Ridge Field,Erie,United States,ERI
Barnstable Municipal Boardman Polando Field,Barnstable,United States,HYA
Sedona Airport,Sedona,United States,SDX
Morgantown Municipal Walter L. Bill Hart Field,Morgantown,United States,MGW
Yeager Airport,Charleston,United States,CRW
Wilkes Barre Scranton International Airport,Scranton,United States,AVP
Bemidji Regional Airport,Bemidji,United States,BJI
Hector International Airport,Fargo,United States,FAR
Charles B. Wheeler Downtown Airport,Kansas City,United States,MKC
Gillette Campbell County Airport,Gillette,United States,GCC
El Toro Marine Corps Air Station,Santa Ana,United States,NZJ
University Park Airport,State College Pennsylvania,United States,SCE
Key Field,Meridian,United States,MEI
Abraham Lincoln Capital Airport,Springfield,United States,SPI
Cortez Municipal Airport,Cortez,United States,CEZ
Yampa Valley Airport,Hayden,United States,HDN
Gallup Municipal Airport,Gallup,United States,GUP
Liberal Mid-America Regional Airport,Liberal,United States,LBL
Lamar Municipal Airport,Lamar,United States,LAA
Renner Field-Goodland Municipal Airport,Goodland,United States,GLD
Yellowstone Regional Airport,Cody,United States,COD
Springfield Branson National Airport,Springfield,United States,SGF
Joplin Regional Airport,Joplin,United States,JLN
Lehigh Valley International Airport,Allentown,United States,ABE
Northwest Arkansas Regional Airport,Bentonville,United States,XNA
South Bend Regional Airport,South Bend,United States,SBN
Smith Field,Fort Wayne IN,United States,SMD
California Redwood Coast-Humboldt County Airport,Arcata CA,United States,ACV
Albert J Ellis Airport,Jacksonville NC,United States,OAJ
Tuscaloosa Regional Airport,Tuscaloosa AL,United States,TCL
Dubuque Regional Airport,Dubuque IA,United States,DBQ
Aberdeen Regional Airport,Aberdeen,United States,ABR
Southwest Georgia Regional Airport,Albany,United States,ABY
Athens Ben Epps Airport,Athens,United States,AHN
Alamogordo White Sands Regional Airport,Alamogordo,United States,ALM
Waterloo Regional Airport,Waterloo,United States,ALO
Walla Walla Regional Airport,Walla Walla,United States,ALW
Alpena County Regional Airport,Alpena,United States,APN
Watertown Regional Airport,Watertown,United States,ATY
Bradford Regional Airport,Bradford,United States,BFD
Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,United States,BFF
Raleigh County Memorial Airport,Beckley,United States,BKW
Brunswick Golden Isles Airport,Brunswick,United States,BQK
Southeast Iowa Regional Airport,Burlington,United States,BRL
Jack Mc Namara Field Airport,Crescent City,United States,CEC
Cape Girardeau Regional Airport,Cape Girardeau,United States,CGI
Chippewa County International Airport,Sault Ste Marie,United States,CIU
North Central West Virginia Airport,Clarksburg,United States,CKB
William R Fairchild International Airport,Port Angeles,United States,CLM
Houghton County Memorial Airport,Hancock,United States,CMX
Dodge City Regional Airport,Dodge City,United States,DDC
DuBois Regional Airport,Du Bois,United States,DUJ
Chippewa Valley Regional Airport,Eau Claire,United States,EAU
Elko Regional Airport,Elko,United States,EKO
New Bedford Regional Airport,New Bedford,United States,EWB
Fayetteville Regional Grannis Field,Fayetteville,United States,FAY
Wokal Field Glasgow International Airport,Glasgow,United States,GGW
Central Nebraska Regional Airport,Grand Island,United States,GRI
Memorial Field,Hot Springs,United States,HOT
Tri-State/Milton J. Ferguson Field,Huntington,United States,HTS
Kirksville Regional Airport,Kirksville,United States,IRK
Jamestown Regional Airport,Jamestown,United States,JMS
Laramie Regional Airport,Laramie,United States,LAR
Arnold Palmer Regional Airport,Latrobe,United States,LBE
North Platte Regional Airport Lee Bird Field,North Platte,United States,LBF
Lebanon Municipal Airport,Lebanon,United States,LEB
Crater Lake-Klamath Regional Airport,Klamath Falls,United States,LMT
Lancaster Airport,Lancaster,United States,LNS
Lewistown Municipal Airport,Lewistown,United States,LWT
Lynchburg Regional Preston Glenn Field,Lynchburg,United States,LYH
Muskegon County Airport,Muskegon,United States,MKG
Frank Wiley Field,Miles City,United States,MLS
Northwest Alabama Regional Airport,Muscle Shoals,United States,MSL
Southwest Oregon Regional Airport,North Bend,United States,OTH
Owensboro Daviess County Airport,Owensboro,United States,OWB
Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,United States,PIB
Pocatello Regional Airport,Pocatello,United States,PIH
Pierre Regional Airport,Pierre,United States,PIR
Pellston Regional Airport of Emmet County Airport,Pellston,United States,PLN
Portsmouth International at Pease Airport,Portsmouth,United States,PSM
Reading Regional Carl A Spaatz Field,Reading,United States,RDG
Rhinelander Oneida County Airport,Rhinelander,United States,RHI
Southwest Wyoming Regional Airport,Rock Springs,United States,RKS
Rutland - Southern Vermont Regional Airport,Rutland,United States,RUT
San Luis County Regional Airport,San Luis Obispo,United States,SBP
Sheridan County Airport,Sheridan,United States,SHR
Adirondack Regional Airport,Saranac Lake,United States,SLK
Salina Municipal Airport,Salina,United States,SLN
Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,United States,SMX
Tupelo Regional Airport,Tupelo,United States,TUP
Quincy Regional Baldwin Field,Quincy,United States,UIN
Victoria Regional Airport,Victoria,United States,VCT
Valdosta Regional Airport,Valdosta,United States,VLD
Worland Municipal Airport,Worland,United States,WRL
Yakima Air Terminal McAllister Field,Yakima,United States,YKM
Adak Airport,Adak Island,United States,ADK
Gustavus Airport,Gustavus,United States,GST
Skagway Airport,Skagway,United States,SGY
Holy Cross Airport,Holy Cross,United States,HCR
Haines Airport,Haines,United States,HNS
Kalskag Airport,Kalskag,United States,KLG
McGrath Airport,Mcgrath,United States,MCG
Mountain Village Airport,Mountain Village,United States,MOU
Aniak Airport,Aniak,United States,ANI
Chevak Airport,Chevak,United States,VAK
Wrangell Airport,Wrangell,United States,WRG
Kalaupapa Airport,Molokai,United States,LUP
Aleknagik / New Airport,Aleknagik,United States,WKK
Mercer County Airport,Bluefield,United States,BLF
Mid Delta Regional Airport,Greenville,United States,GLH
Tri Cities Airport,Pasco,United States,PSC
Akutan Seaplane Base,Akutan,United States,KQA
Lopez Island Airport,Lopez,United States,LPS
Waikoloa Heliport,Waikoloa Village,United States,WKL
Worcester Regional Airport,Worcester,United States,ORH
Bremerton National Airport,Bremerton,United States,PWT
Spencer Municipal Airport,Spencer,United States,SPW
Jefferson City Memorial Airport,Jefferson City,United States,JEF
Provincetown Municipal Airport,Provincetown,United States,PVC
Fullerton Municipal Airport,Fullerton,United States,FUL
Concord-Padgett Regional Airport,Concord,United States,USA
Friedman Memorial Airport,Hailey,United States,SUN
Mason City Municipal Airport,Mason City,United States,MCW
Phoenix-Mesa-Gateway Airport,Mesa,United States,AZA
Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,AKP
Anvik Airport,Anvik,United States,ANV
Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States,ATK
Gambell Airport,Gambell,United States,GAM
Hooper Bay Airport,Hooper Bay,United States,HPB
Kaltag Airport,Kaltag,United States,KAL
St Mary's Airport,St Mary's,United States,KSM
Kivalina Airport,Kivalina,United States,KVL
Mekoryuk Airport,Mekoryuk,United States,MYU
Ruby Airport,Ruby,United States,RBY
Shishmaref Airport,Shishmaref,United States,SHH
Savoonga Airport,Savoonga,United States,SVA
Noatak Airport,Noatak,United States,WTK
Arctic Village Airport,Arctic Village,United States,ARC
Port Clarence Coast Guard Station,Port Clarence,United States,KPC
Hagerstown Regional Richard A Henson Field,Hagerstown,United States,HGR
Sand Point Airport,Sand Point,United States,SDP
Deering Airport,Deering,United States,DRG
Igiugig Airport,Igiugig,United States,IGG
New Stuyahok Airport,New Stuyahok,United States,KNW
King Cove Airport,King Cove,United States,KVC
Port Heiden Airport,Port Heiden,United States,PTH
Togiak Airport,Togiak Village,United States,TOG
Delta County Airport,Escanaba,United States,ESC
Yakutat Airport,Yakutat,United States,YAK
Williamson County Regional Airport,Marion,United States,MWA
Ford Airport,Iron Mountain,United States,IMT
Marquette Airport,Marquette,United States,\N
Allakaket Airport,Allakaket,United States,AET
Michigan City Municipal Airport,Michigan City,United States,MGC
Seward Airport,Seward,United States,SWD
Grand Marais Cook County Airport,Grand Marais,United States,GRM
Wausau Downtown Airport,Wausau,United States,AUW
Delaware County Johnson Field,Muncie,United States,MIE
Purdue University Airport,Lafayette,United States,LAF
Brown County Airport,Georgetown,United States,\N
North Las Vegas Airport,Las Vegas,United States,VGT
Kenosha Regional Airport,Kenosha,United States,ENW
Montrose Regional Airport,Montrose CO,United States,MTJ
Riverton Regional Airport,Riverton WY,United States,RIW
Eastern Oregon Regional At Pendleton Airport,Pendleton,United States,PDT
Wittman Regional Airport,Oshkosh,United States,OSH
Pangborn Memorial Airport,Wenatchee,United States,EAT
NAS Fort Worth JRB/Carswell Field,Dallas,United States,FWH
Gary Chicago International Airport,Gary,United States,GYY
Brainerd Lakes Regional Airport,Brainerd,United States,BRD
Greenbrier Valley Airport,Lewisburg,United States,LWB
Pitt Greenville Airport,Greenville,United States,PGV
Chefornak Airport,Chefornak,United States,CYF
Oxnard Airport,Oxnard,United States,OXR
Branson Airport,Branson,United States,BKG
Schenectady County Airport,Scotia NY,United States,SCH
Northeast Florida Regional Airport,St. Augustine Airport,United States,UST
Charles M. Schulz Sonoma County Airport,Santa Rosa,United States,STS
Kissimmee Gateway Airport,Kissimmee,United States,ISM
Lake City Gateway Airport,Lake City,United States,LCQ
Deland Municipal Sidney H Taylor Field,DeLand,United States,\N
Haller Airpark,Green Cove Springs,United States,\N
Logan-Cache Airport,Logan,United States,LGU
Brigham City Regional Airport,Brigham City,United States,BMC
Malad City Airport,Malad City,United States,\N
Aspen-Pitkin Co/Sardy Field,Aspen,United States,ASE
Kerrville Municipal Louis Schreiner Field,Kerrville,United States,ERV
Sussex County Airport,Georgetown,United States,GED
Great Bend Municipal Airport,Great Bend,United States,GBD
Hays Regional Airport,Hays,United States,HYS
Spirit of St Louis Airport,Null,United States,SUS
Ely Municipal Airport,Ely,United States,LYU
Grand Rapids Itasca Co-Gordon Newstrom field,Grand Rapids MN,United States,GPZ
Thief River Falls Regional Airport,Thief River Falls,United States,TVF
Eagle River Union Airport,Eagle River,United States,EGV
Lakeland-Noble F. Lee Memorial field,Minocqua - Woodruff,United States,ARV
Ankeny Regional Airport,Ankeny,United States,\N
Corpus Christi Naval Air Station/Truax Field,Corpus Christi,United States,\N
Catalina Airport,Catalina Island,United States,AVX
Mojave Airport,Mojave,United States,MHV
Hutchinson Municipal Airport,Hutchinson,United States,HUT
Rosecrans Memorial Airport,Rosecrans,United States,STJ
Volk Field,Camp Douglas,United States,VOK
Gunnison Crested Butte Regional Airport,Gunnison,United States,GUC
Zamperini Field,Torrance,United States,TOA
Manistee Co Blacker Airport,Manistee,United States,MBL
Charlotte County Airport,Punta Gorda,United States,PGD
Northern Aroostook Regional Airport,Frenchville,United States,WFK
Chautauqua County-Jamestown Airport,Jamestown,United States,JHW
Lake Cumberland Regional Airport,Somerset,United States,SME
Shenandoah Valley Regional Airport,Weyers Cave,United States,SHD
Devils Lake Regional Airport,Devils Lake,United States,DVL
Dickinson Theodore Roosevelt Regional Airport,Dickinson,United States,DIK
Sidney - Richland Regional Airport,Sidney,United States,SDY
Chadron Municipal Airport,Chadron,United States,CDR
Alliance Municipal Airport,Alliance,United States,AIA
Mc Cook Ben Nelson Regional Airport,McCook,United States,MCK
The Florida Keys Marathon Airport,Marathon,United States,MTH
Dawson Community Airport,Glendive,United States,GDV
L M Clayton Airport,Wolf Point,United States,OLF
Yellowstone Airport,West Yellowstone,United States,WYS
San Luis Valley Regional Bergman Field,Alamosa,United States,ALS
Canyonlands Field,Moab,United States,CNY
Ely Airport Yelland Field,Ely,United States,ELY
Vernal Regional Airport,Vernal,United States,VEL
Sierra Blanca Regional Airport,Ruidoso,United States,RUI
Show Low Regional Airport,Show Low,United States,SOW
McCall Municipal Airport,McCall,United States,MYL
Lemhi County Airport,Salmon,United States,SMN
Mammoth Yosemite Airport,Mammoth Lakes,United States,MMH
Friday Harbor Airport,Friday Harbor,United States,FRD
Orcas Island Airport,Eastsound,United States,ESD
Astoria Regional Airport,Astoria,United States,AST
Newport Municipal Airport,Newport,United States,ONP
Emmonak Airport,Emmonak,United States,EMK
Unalakleet Airport,Unalakleet,United States,UNK
Ugnu-Kuparuk Airport,Kuparuk,United States,UUK
Shageluk Airport,Shageluk,United States,SHX
Chuathbaluk Airport,Chuathbaluk,United States,CHU
Nuiqsut Airport,Nuiqsut,United States,NUI
Eek Airport,Eek,United States,EEK
Kasigluk Airport,Kasigluk,United States,KUK
Kwethluk Airport,Kwethluk,United States,KWT
Kwigillingok Airport,Kwigillingok,United States,KWK
Marshall Don Hunter Sr Airport,Marshall,United States,MLL
Russian Mission Airport,Russian Mission,United States,RSH
Koliganek Airport,Koliganek,United States,KGK
Manokotak Airport,Manokotak,United States,KMO
Chalkyitsik Airport,Chalkyitsik,United States,CIK
Eagle Airport,Eagle,United States,EAA
Hughes Airport,Hughes,United States,HUS
Huslia Airport,Huslia,United States,HSL
Nulato Airport,Nulato,United States,NUL
Venetie Airport,Venetie,United States,VEE
Beaver Airport,Beaver,United States,WBQ
Central Airport,Central,United States,CEM
Shungnak Airport,Shungnak,United States,SHG
Inyokern Airport,Inyokern,United States,IYK
Visalia Municipal Airport,Visalia,United States,VIS
Merced Regional Macready Field,Merced,United States,MCE
Phoenix Goodyear Airport,Goodyear,United States,GYR
Angoon Seaplane Base,Angoon,United States,AGN
Elfin Cove Seaplane Base,Elfin Cove,United States,ELV
Funter Bay Seaplane Base,Funter Bay,United States,FNR
Hoonah Airport,Hoonah,United States,HNH
Kake Airport,Kake,United States,\N
Metlakatla Seaplane Base,Metakatla,United States,MTM
Hydaburg Seaplane Base,Hydaburg,United States,HYG
Egegik Airport,Egegik,United States,EGX
Perryville Airport,Perryville,United States,KPV
Pilot Point Airport,Pilot Point,United States,PIP
South Naknek Nr 2 Airport,South Naknek,United States,WSN
Akhiok Airport,Akhiok,United States,AKK
Karluk Airport,Karluk,United States,KYK
Larsen Bay Airport,Larsen Bay,United States,KLN
Ambler Airport,Ambler,United States,ABL
Buckland Airport,Buckland,United States,BKC
Bob Baker Memorial Airport,Kiana,United States,IAN
Kobuk Airport,Kobuk,United States,OBU
Robert (Bob) Curtis Memorial Airport,Noorvik,United States,ORV
Selawik Airport,Selawik,United States,WLK
Brevig Mission Airport,Brevig Mission,United States,KTS
Elim Airport,Elim,United States,ELI
Golovin Airport,Golovin,United States,GLV
Teller Airport,Teller,United States,TLA
Wales Airport,Wales,United States,WAA
White Mountain Airport,White Mountain,United States,WMO
Koyuk Alfred Adams Airport,Koyuk,United States,KKA
St Michael Airport,St. Michael,United States,SMK
Shaktoolik Airport,Shaktoolik,United States,SKK
Tin City Long Range Radar Station Airport,Tin City,United States,TNC
Atka Airport,Atka,United States,AKB
Nikolski Air Station,Nikolski,United States,IKO
Yakataga Airport,Yakataga,United States,CYT
Alakanuk Airport,Alakanuk,United States,AUK
Kipnuk Airport,Kipnuk,United States,KPN
False Pass Airport,False Pass,United States,KFP
Nelson Lagoon Airport,Nelson Lagoon,United States,NLG
Port Moller Airport,Cold Bay,United States,PML
Klawock Airport,Klawock,United States,KLW
Quinhagak Airport,Quinhagak,United States,KWN
Kotlik Airport,Kotlik,United States,KOT
Koyukuk Airport,Koyukuk,United States,KYU
Scammon Bay Airport,Scammon Bay,United States,SCM
Nondalton Airport,Nondalton,United States,NNL
Kongiganak Airport,Kongiganak,United States,KKH
Nikolai Airport,Nikolai,United States,NIB
Akiak Airport,Akiak,United States,AKI
Wainwright Airport,Wainwright,United States,AIN
Chenega Bay Airport,Chenega,United States,NCN
Tok Junction Airport,Tok,United States,TKJ
Circle City /New/ Airport,Circle,United States,IRC
Sleetmute Airport,Sleetmute,United States,SLQ
Healy River Airport,Healy,United States,\N
Klawock Seaplane Base,Klawock,United States,\N
Minchumina Airport,Lake Minchumina,United States,LMA
Manley Hot Springs Airport,Manley Hot Springs,United States,MLY
Eastern WV Regional Airport/Shepherd Field,Martinsburg,United States,MRB
Rock Hill - York County Airport,Rock Hill,United States,RKH
Allegheny County Airport,Pittsburgh,United States,AGC
Cecil Airport,Jacksonville,United States,VQQ
Fulton County Airport Brown Field,Atlanta,United States,FTY
The Ohio State University Airport - Don Scott Field,Columbus,United States,OSU
Addison Airport,Addison,United States,ADS
Destin Executive Airport,Destin,United States,DSI
Kinston Regional Jetport At Stallings Field,Kinston,United States,ISO
First Flight Airport,Kill Devil Hills,United States,FFA
Provo Municipal Airport,Provo,United States,PVU
Steamboat Springs Bob Adams Field,Steamboat Springs,United States,SBS
Delta Municipal Airport,Delta,United States,DTA
Richfield Municipal Airport,Richfield,United States,\N
Carbon County Regional/Buck Davis Field,Price,United States,PUC
Los Alamos Airport,Los Alamos,United States,LAM
Lake Havasu City Airport,Lake Havasu City,United States,HII
Winslow Lindbergh Regional Airport,Winslow,United States,INW
Douglas Municipal Airport,Douglas,United States,DGL
Bartow Municipal Airport,Bartow,United States,BOW
Livermore Municipal Airport,Livermore,United States,LVK
Mariposa Yosemite Airport,Mariposa,United States,RMY
Jacqueline Cochran Regional Airport,Palm Springs,United States,TRM
Santa Monica Municipal Airport,Santa Monica,United States,SMO
Bermuda Dunes Airport,Palm Springs,United States,UDD
Scottsdale Airport,Scottsdale,United States,SCF
Olympia Regional Airport,Olympia,United States,OLM
Yolo County Davis Woodland Winters Airport,Davis-Woodland-Winters,United States,\N
Garfield County Regional Airport,Rifle,United States,RIL
Shively Field,SARATOGA,United States,SAA
DeKalb Peachtree Airport,Atlanta,United States,PDK
Monroe County Airport,Bloomington,United States,BMG
Witham Field,Stuart,United States,SUA
Morristown Municipal Airport,Morristown,United States,MMU
Napa County Airport,Napa,United States,APC
Brown Field Municipal Airport,San Diego,United States,SDM
Venice Municipal Airport,Venice,United States,VNC
Palm Beach County Glades Airport,Pahokee,United States,PHK
Northwest Florida Beaches International Airport,Panama City,United States,ECP
San Bernardino International Airport,San Bernardino,United States,SBD
San Carlos Airport,San Carlos,United States,SQL
Rocky Mount Wilson Regional Airport,Rocky Mount,United States,RWI
Whittier Airport,Whittier,United States,\N
Soldotna Airport,Soldotna,United States,SXQ
Gillespie Field,El Cajon,United States,SEE
San Clemente Island Naval Auxiliary Landing Field,San Clemente Island,United States,\N
Truckee Tahoe Airport,Truckee,United States,TKF
Cobb County-Mc Collum Field,Atlanta,United States,\N
Dell Flight Strip,Dell,United States,\N
Mission Field,Livingston-Montana,United States,LVM
Big Timber Airport,Big Timber,United States,\N
Tulip City Airport,Holland,United States,\N
Monument Valley Airport,Monument Valley,United States,GMV
West 30th St. Heliport,New York,United States,JRA
Lakeland Linder International Airport,Lakeland,United States,LAL
Indianola Municipal Airport,New York,United States,\N
French Valley Airport,Murrieta-Temecula,United States,RBK
Carl R Keller Field,Port Clinton,United States,\N
Dayton-Wright Brothers Airport,Dayton,United States,MGY
Richmond Municipal Airport,Richmond,United States,\N
Findlay Airport,Findley,United States,FDY
Black Hills Airport-Clyde Ice Field,Spearfish-South Dakota,United States,SPF
Olive Branch Airport,Olive Branch,United States,OLV
Rocky Mountain Metropolitan Airport,Broomfield-CO,United States,BJC
Salem Municipal Airport/McNary Field,Salem,United States,SLE
Tunica Municipal Airport,Tunica,United States,UTM
Lawrence J Timmerman Airport,Milwaukee,United States,MWC
Southern Wisconsin Regional Airport,Janesville,United States,JVL
Arlington Municipal Airport,Arlington,United States,\N
Gwinnett County Briscoe Field,Lawrenceville,United States,LZU
Bowling Green Warren County Regional Airport,Bowling Green,United States,BWG
Richard Lloyd Jones Jr Airport,Tulsa,United States,RVS
Bryce Canyon Airport,Bryce Canyon,United States,BCE
Burlington Alamance Regional Airport,Burlington,United States,\N
New Century Aircenter Airport,Olathe,United States,JCI
Easton Newnam Field,Easton,United States,ESN
Yuba County Airport,Yuba City,United States,MYV
Halliburton Field,Duncan,United States,DUC
Garner Field,Uvalde,United States,UVA
Lewis University Airport,Lockport,United States,LOT
Buchanan Field,Concord,United States,CCR
Ocean Reef Club Airport,Ocean Reef Club Airport,United States,OCA
Ohio University Snyder Field,Athens,United States,ATO
Springfield-Beckley Municipal Airport,Springfield,United States,SGH
Philip Billard Municipal Airport,Topeka,United States,TOP
Benson Airstrip,Uvalde,United States,\N
Rough River State Park Airport,Null,United States,\N
Smyrna Airport,Smyrna,United States,MQY
Franklin County Airport,Sewanee,United States,UOS
Collin County Regional At Mc Kinney Airport,DALLAS,United States,\N
Chicago Executive Airport,Chicago-Wheeling,United States,PWK
Southwest Washington Regional Airport,Kelso,United States,KLS
Wilmington Airpark,Wilmington,United States,ILN
Marana Regional Airport,Tucson,United States,AVW
Casa Grande Municipal Airport,Casa Grande,United States,CGZ
Mobile Airport,Mobile,United States,\N
Buckeye Municipal Airport,Buckeye,United States,BXK
Gila Bend Municipal Airport,Gila Bend,United States,\N
McMinn County Airport,Athens,United States,MMI
Sterling Municipal Airport,Sterling,United States,STK
Rawlins Municipal Airport/Harvey Field,Rawlins,United States,RWL
Essex County Airport,Caldwell,United States,CDW
Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,AIZ
Thomasville Regional Airport,Thomasville,United States,TVI
Henderson Executive Airport,Henderson,United States,HSH
Henry Tift Myers Airport,Tifton,United States,TMA
Phoenix Deer Valley Airport,Phoenix ,United States,DVT
Republic Airport,Farmingdale,United States,FRG
South Texas Regional Airport at Hondo,Hondo,United States,\N
McKinley National Park Airport,McKinley Park,United States,MCL
Lake Hood Airport,Anchorage,United States,\N
Prospect Creek Airport,Prospect Creek,United States,PPC
Wheeling Ohio County Airport,Wheeling,United States,HLG
Fitzgerald Municipal Airport,Fitzgerald,United States,\N
Aransas County Airport,Rockport,United States,RKP
Crisp County Cordele Airport,Cordele,United States,\N
Ormond Beach Municipal Airport,Ormond Beach,United States,\N
Portland Troutdale Airport,Troutdale,United States,TTD
Portland Hillsboro Airport,Hillsboro,United States,HIO
One Police Plaza Heliport,New York,United States,\N
Bend Municipal Airport,Bend,United States,\N
Christmas Valley Airport,Christmas Valley,United States,\N
Burns Municipal Airport,Burns,United States,BNO
Prineville Airport,Prineville,United States,PRZ
Red Bluff Municipal Airport,Red Bluff,United States,RBL
Marin County Airport - Gnoss Field,Novato,United States,NOT
Lake County Airport,Lakeview,United States,LKV
Tillamook Airport,Tillamook,United States,OTK
Ontario Municipal Airport,Ontario,United States,ONO
Columbia Gorge Regional the Dalles Municipal Airport,The Dalles,United States,DLS
Montgomery County Airpark,Gaithersburg,United States,GAI
Charlevoix Municipal Airport,Charelvoix,United States,\N
Flagler Executive Airport,Flagler,United States,\N
Morrisville Stowe State Airport,Morrisville,United States,MVL
Dallas Executive Airport,Dallas,United States,RBD
Westerly State Airport,Washington County,United States,WST
Block Island State Airport,Block Island,United States,BID
Nightmute Airport,Nightmute,United States,NME
Toksook Bay Airport,Toksook Bay,United States,OOK
Decatur County Industrial Air Park,Bainbridge,United States,BGE
Silver Springs Airport,Silver Springs,United States,\N
Whiteman Airport,Los Angeles,United States,WHP
Madera Municipal Airport,Madera,United States,MAE
Apalachicola Regional Airport,Apalachicola,United States,AAF
Douglas Municipal Airport,Douglas,United States,\N
St Lucie County International Airport,Fort Pierce,United States,FPR
Taunton Municipal King Field,Taunton,United States,\N
Plymouth Municipal Airport,Plymouth,United States,PYM
Quonset State Airport,North Kingstown,United States,NCO
Norwood Memorial Airport,Norwood,United States,OWD
Westfield-Barnes Regional Airport,Westfield,United States,BAF
Windham Airport,Willimantic,United States,\N
Orange County Airport,Montgomery,United States,MGJ
Capital City Airport,Harrisburg,United States,HAR
Marshfield Municipal George Harlow Field,Marshfield,United States,\N
Danbury Municipal Airport,Danbury,United States,DXR
Boire Field,Nashua,United States,ASH
Lawrence Municipal Airport,Lawrence,United States,LWM
Waterbury Oxford Airport,Oxford,United States,OXC
Fitchburg Municipal Airport,Fitchburg,United States,\N
Earl L. Small Jr. Field/Stockmar Airport,Villa Rica,United States,\N
Cartersville Airport,Cartersville,United States,\N
Centre-Piedmont-Cherokee County Regional Airport,Centre,United States,\N
Richard B Russell Airport,Rome,United States,RMG
Northeast Alabama Regional Airport,Gadsden,United States,GAD
Knoxville Downtown Island Airport,Knoxville,United States,\N
Barrow County Airport,Winder,United States,WDR
Plantation Airpark,Sylvania,United States,\N
Dalton Municipal Airport,Dalton,United States,DNN
West Georgia Regional O V Gray Field,Carrollton,United States,\N
LaGrange Callaway Airport,LaGrange,United States,LGC
Baldwin County Regional Airport,Milledgeville,United States,\N
Harris County Airport,Pine Mountain,United States,PIM
Peachtree City Falcon Field,Atlanta,United States,\N
Lee Gilmer Memorial Airport,Gainesville,United States,GVL
Harry Clever Field,New Philadelpha,United States,PHD
Darlington County Airport,Darlington,United States,\N
Hilton Head Airport,Hilton Head Island,United States,HHH
Daniel Field,Augusta,United States,DNL
Foothills Regional Airport,Morganton,United States,MRN
Pike County-Hatcher Field,Pikeville,United States,PVL
Mallards Landing Airport,Locust Grove,United States,\N
Toccoa Airport - R.G. Letourneau Field,Toccoa,United States,TOC
Fort Worth Alliance Airport,Fort Worth,United States,AFW
East Troy Municipal Airport,East Troy,United States,\N
Lawrence Municipal Airport,Lawrence,United States,LWC
Wellington Municipal Airport,Wellington,United States,\N
Pompano Beach Airpark,Pompano Beach,United States,PPM
Shelby County Airport,Alabaster,United States,\N
Sky Ranch At Carefree Airport,Carefree,United States,\N
Indianapolis Metropolitan Airport,Indianapolis,United States,\N
London-Corbin Airport/Magee Field,London,United States,LOZ
Simmons Army Air Field,Fredericksburg,United States,FBG
John H Batten Airport,Racine,United States,RAC
Redlands Municipal Airport,Redlands,United States,\N
Flabob Airport,Riverside,United States,\N
Tacoma Narrows Airport,Tacoma,United States,TIW
Jack Edwards Airport,Gulf Shores,United States,GUF
Hazleton Municipal Airport,Hazleton,United States,HZL
Greater Cumberland Regional Airport,Cumberland,United States,CBE
Sugar Loaf Shores Airport,Key West,United States,\N
Tri-County Regional Airport,Lone Rock,United States,LNR
Price County Airport,Phillips,United States,\N
Monroe Municipal Airport,Monroe,United States,\N
Joliet Regional Airport,Joliet,United States,JOT
Illinois Valley Regional Airport-Walter A Duncan Field,Peru,United States,VYS
